    0.245363047901649680E+07    0.442606328408098548E+00    0.933803595213497744E+02    0.151734292267932114E+00    0.102387396781505990E+00    0.187305399967408619E+03    0.403627238403636481E-02   -0.483639540433309719E+03
    0.245362982503216481E+07    0.441340433130808840E+00    0.972392230865341816E+02    0.226680241101479107E+00    0.930964475743439879E-01    0.187251676116221546E+03    0.130464737397375102E-01   -0.481933681659339982E+03
    0.245363005712059094E+07    0.441137869665724214E+00    0.969002427293333568E+02    0.202149221068173457E+00    0.829358655503837916E-01    0.187249341378755844E+03    0.123645337859188548E-01   -0.479635545899614044E+03
    0.245363066564649343E+07   -0.382995930549496322E+00    0.117147545880992013E+03   -0.309510359969230819E+00    0.121489951208424429E+00    0.186901454906355042E+03    0.188885921421280190E+00   -0.483812061118909355E+03
    0.245363124994854163E+07   -0.439181875210525097E+00    0.113821038635912032E+03   -0.385513482602745261E+00    0.139721239730330238E+00    0.187245976443678842E+03    0.186494054869204527E-01   -0.483169554626730132E+03
    0.245363032897078525E+07   -0.408619960277724514E+00    0.111675680888338093E+03   -0.272661305585090663E+00    0.899697219548006855E-01    0.186873359177801774E+03    0.119530875317876040E+00   -0.482962820245512944E+03
    0.245363101092070481E+07   -0.425696931672122525E+00    0.107109601756277129E+03   -0.262719970721945639E+00    0.104502665310434728E+00    0.187271376230399142E+03    0.697621394700955882E-01   -0.482674442452746632E+03
    0.245363034606141085E+07   -0.406175996572293752E+00    0.108264532734657280E+03   -0.239424450968592162E+00    0.960210514149890670E-01    0.187108692086155230E+03    0.120995271517194067E+00   -0.482618804743753913E+03
    0.245363020107167913E+07   -0.393917834201667705E+00    0.119494069695733259E+03   -0.338086842388566899E+00    0.111224581086806662E+00    0.186982301666742273E+03    0.161447699708461984E+00   -0.482588448252290618E+03
    0.245363147154294886E+07   -0.422710139003135144E+00    0.115800692238219938E+03   -0.353805379341343429E+00    0.128088620052282387E+00    0.187078837587478745E+03    0.721248753445633828E-01   -0.482506891177559339E+03
    0.245363046490093926E+07   -0.401746456614264558E+00    0.115148121707099136E+03   -0.321769679417077958E+00    0.107920312655549799E+00    0.186958955851225198E+03    0.138795441145374981E+00   -0.482230353843863327E+03
    0.245363132043621875E+07   -0.434966911535319301E+00    0.111194191832705471E+03   -0.340842679898490486E+00    0.120362093690583927E+00    0.187012842128338377E+03    0.367609020218643626E-01   -0.482182172241954731E+03
    0.245363171562606236E+07   -0.427053447148449838E+00    0.114546219879932593E+03   -0.371589081163079038E+00    0.130150781130473181E+00    0.187099775312336675E+03    0.530227843767540410E-01   -0.482124156555329762E+03
    0.245363072165090032E+07   -0.431395598193490715E+00    0.102542220379330772E+03   -0.267332567118689524E+00    0.119099750391765236E+00    0.187354161390041668E+03    0.372933417391813349E-01   -0.482088697285298849E+03
    0.245363072046599071E+07   -0.431914251909168989E+00    0.108566553541562854E+03   -0.312815505658232962E+00    0.124231459277304834E+00    0.187306830953852739E+03    0.518280164983351208E-01   -0.482047461417038619E+03
    0.245363056585458340E+07   -0.415867826412902430E+00    0.107268824677788857E+03   -0.244834999066796788E+00    0.983300441492217514E-01    0.187139312692098713E+03    0.101306397890955982E+00   -0.482009762405473566E+03
    0.245363076907457411E+07   -0.416787819259926251E+00    0.110163323180712382E+03   -0.280747570825769399E+00    0.956194841840826149E-01    0.187188733325876058E+03    0.977718654401641685E-01   -0.481796657759439597E+03
    0.245363117606360652E+07   -0.383237148613007728E+00    0.120817715298549828E+03   -0.332523282705776524E+00    0.121286550430211193E+00    0.186883139765836205E+03    0.189839471113585040E+00   -0.481786518385679074E+03
    0.245363010436652368E+07   -0.404336082251676276E+00    0.110069486853239653E+03   -0.293831217445204462E+00    0.116496806109918083E+00    0.187126606203646645E+03    0.127773145324784232E+00   -0.481772660128700409E+03
    0.245363073182974104E+07   -0.420108687295826844E+00    0.113960518556147846E+03   -0.344209454972832174E+00    0.112354968250308551E+00    0.187000076636551114E+03    0.735865933515332249E-01   -0.481768484044267097E+03
    0.245363043068062561E+07   -0.402517351517512223E+00    0.115829773349967937E+03   -0.326598535137264445E+00    0.936725120760233398E-01    0.187181961590527493E+03    0.132207914588865716E+00   -0.481732967048103035E+03
    0.245363083269354142E+07   -0.397671325601555936E+00    0.117777702769050777E+03   -0.354274010062057942E+00    0.126897752753775350E+00    0.187048653795929255E+03    0.145823684715413682E+00   -0.481606376139690497E+03
    0.245363101962489635E+07   -0.369974163881075624E+00    0.122631545945852167E+03   -0.318824226773343877E+00    0.105450668509881940E+00    0.187058567126265388E+03    0.227197542838561500E+00   -0.481605575425468999E+03
    0.245363074531869637E+07   -0.427664133011685488E+00    0.106127003120625531E+03   -0.297726630385848512E+00    0.138290066792136512E+00    0.187287152846102742E+03    0.562282626993128587E-01   -0.481581794315831530E+03
