t_0,u_0,t_E,pi_E_N,pi_E_E,ftot,fb_frac,loglike
2453630.479016497,0.44260632840809855,93.38035952134977,0.1517342922679321,0.10238739678150599,187.30539996740862,0.004036272384036365,-483.6395404333097
2453629.825032165,0.44134043313080884,97.23922308653418,0.2266802411014791,0.09309644757434399,187.25167611622155,0.01304647373973751,-481.93368165934
2453630.057120591,0.4411378696657242,96.90024272933336,0.20214922106817346,0.08293586555038379,187.24934137875584,0.012364533785918855,-479.63554589961404
2453630.6656464934,-0.3829959305494963,117.14754588099201,-0.3095103599692308,0.12148995120842443,186.90145490635504,0.1888859214212802,-483.81206111890936
2453631.2499485416,-0.4391818752105251,113.82103863591203,-0.38551348260274526,0.13972123973033024,187.24597644367884,0.018649405486920453,-483.16955462673013
2453630.3289707853,-0.4086199602777245,111.67568088833809,-0.27266130558509066,0.08996972195480069,186.87335917780177,0.11953087531787604,-482.96282024551294
2453631.010920705,-0.4256969316721225,107.10960175627713,-0.26271997072194564,0.10450266531043473,187.27137623039914,0.06976213947009559,-482.67444245274663
2453630.346061411,-0.40617599657229375,108.26453273465728,-0.23942445096859216,0.09602105141498907,187.10869208615523,0.12099527151719407,-482.6188047437539
2453630.201071679,-0.3939178342016677,119.49406969573326,-0.3380868423885669,0.11122458108680666,186.98230166674227,0.16144769970846198,-482.5884482522906
2453631.471542949,-0.42271013900313514,115.80069223821994,-0.35380537934134343,0.1280886200522824,187.07883758747874,0.07212487534456338,-482.50689117755934
2453630.4649009393,-0.40174645661426456,115.14812170709914,-0.32176967941707796,0.1079203126555498,186.9589558512252,0.13879544114537498,-482.2303538438633
2453631.3204362188,-0.4349669115353193,111.19419183270547,-0.3408426798984905,0.12036209369058393,187.01284212833838,0.03676090202186436,-482.18217224195473
2453631.7156260624,-0.42705344714844984,114.5462198799326,-0.37158908116307904,0.13015078113047318,187.09977531233667,0.05302278437675404,-482.12415655532976
2453630.7216509003,-0.4313955981934907,102.54222037933077,-0.2673325671186895,0.11909975039176524,187.35416139004167,0.037293341739181335,-482.08869728529885
